,0,1,2,3,4,5,6,7,8,9,10,11,12
74,RPL27A,ASGR1,DOCK9,EEF1D,ARPC5L,NCAM1,IFT57,NAMPT,ITGB2,HLA-E,RAB13,TALDO1,CD2AP
75,PIK3IP1,FPR1,FGF22,PRDX2,LAG3,MYBL1,CDCA7L,CTSZ,HLA-DRB1,SLC25A6,HTR1F,PNRC1,ZDHHC17
76,C6orf48,LST1,AC092683.1,RPL18A,TSEN54,CALM1,BASP1,FCER1G,RPS3A,IFITM3,ABCC1,KLF2,VAMP8
77,RPL24,FGR,FRG1-DT,RPL18,ARL4C,SH2D1B,CD82,LAMTOR4,RPL9,ABI3,ITGA2B,SERP1,DYNLL1
78,RPS26,TNFRSF1B,LINC01730,GATA3,RPS3,SLC9A3R1,ID3,MYO1F,SLC25A3,MTPN,CCDC88B,UBC,STX7
79,BCL11B,ATP5F1E,MRC2,RPS16,BIN1,LLGL2,RPL18A,ACTR2,RPS18,LMO2,AC113404.1,FAU,GAPT
80,RPL12,LRP1,KCNB1,PIM1,XCL2,ASCL2,SNX22,UBC,CFL1,CFL1,NPW,VSIR,UCP2
81,TOMM7,CEBPD,SLC23A1,RPL21,TGFBR3,EVL,PLPP5,HLA-A,RPL24,SIGLEC10,GTF2H2,ARPC5,CTSZ
82,RPL7,ASAH1,PNMA3,RPS28,PPDPF,GNG2,RPS11,CSF1R,SPI1,MYL12B,TLCD2,HLA-A,ST6GALNAC4
83,MALAT1,TNFSF13B,AP000265.1,IL2RG,PTPN4,LCK,SMARCB1,SH3BGRL3,S100A11,TYMP,RSPH9,EEF1D,SEPT6
84,RPL35,STXBP2,AL592301.1,EEF1A1,PRF1,ANXA6,SEC62,ACTB,EIF3F,FKBP1A,ERG,ARRB2,H3F3B
85,RPS4Y1,RXRA,AC015795.1,RCAN3,IFNG,RASSF1,TMEM156,MT-CO1,MT-CO2,PRELID1,CCDC175,MYO1G,OFD1
86,EEF1A1,MSRB1,AC087632.1,RPL5,KLRB1,SEPT7,SP140,FKBP1A,RPL41,CTSZ,SMIM6,VIM,TRAF4
87,RPL41,PYCARD,CERS1,RPL19,SRSF7,PLEK,TSTD1,TSPO,RPL32,RHOA,P2RX1,ITM2B,HMGN2
88,RPS10,MCL1,EMP2,LAT,HLA-F,SYNE2,RPS5,VAMP8,COX8A,ADGRE5,RAPGEF2,ARPC3,RNASE6
89,GYPC,SPI1,REEP1,RPL9,EOMES,IFNG,TSPAN3,PTMA,EEF2,FLNA,CYTL1,TYMP,MYDGF
90,LBH,BST1,C6orf47-AS1,RPS26,ZAP70,CD300A,ODC1,COX4I1,EIF3L,IFITM2,TMEM44,FCGRT,NPC1
91,RPS19,LGALS1,AC007638.1,INPP4B,THEMIS,SKAP1,JUND,CAP1,ATP5MG,LAMTOR4,PIGQ,CEBPB,CD164
92,RPL37A,GNAI2,AL139423.1,RPS7,TRG-AS1,AK5,SEL1L3,SERF2,RPS4X,CASP1,KANSL1L,BCLAF1,SNX3
93,LINC00861,CTSB,WNK4,OCIAD2,IFITM1,CCL4,P2RY10,NFKBIZ,RPS16,ANXA5,LRRC34,B2M,TGFBI
94,NUCB2,CAPG,AC010325.2,PPDPF,SLAMF7,TGFBR3,PLEKHF2,DUSP6,RPL27,C1orf162,TPM1,S100A4,SPCS3
95,LCK,CDA,FAM239C,RPS5,CD69,JAK1,IRF8,APLP2,H2AFY,TPI1,MIR181A1HG,ATP5MC2,CDYL
96,BTG1,CFP,AC002306.1,RPLP0,CD247,TFDP2,TRAF5,CTSB,RPL3,PIK3AP1,BEX3,JMJD1C,SNHG7
97,FOXP1,LCP1,AC024475.1,RPS14,STAT4,DHRS7,STX7,TXNIP,MYL6,PFN1,LAPTM4B,EMP3,PHYKPL
